image,volume,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
4.1.07,misc,192,65536,8.5893,8.5756,Inf
4.1.08,misc,192,65536,8.6457,8.6320,Inf
4.2.01,misc,192,262144,7.6286,7.6281,Inf
4.2.03,misc,192,262144,8.7716,8.7728,Inf
4.2.05,misc,192,262144,7.9837,7.9783,Inf
4.2.06,misc,192,262144,8.0815,8.0809,Inf
4.2.07,misc,192,262144,8.0828,8.0783,Inf
house,misc,192,262144,8.4692,8.4749,Inf
2.1.01,aerials,192,262144,9.4145,9.4169,Inf
2.1.02,aerials,192,262144,8.8446,8.8359,Inf
2.1.03,aerials,192,262144,8.3701,8.3506,Inf
2.1.04,aerials,192,262144,9.3810,9.3748,Inf
2.1.05,aerials,192,262144,8.9757,8.9747,Inf
2.1.06,aerials,192,262144,9.2241,9.2280,Inf
2.1.07,aerials,192,262144,8.7806,8.7787,Inf
2.1.08,aerials,192,262144,8.4264,8.4232,Inf
2.1.09,aerials,192,262144,8.6906,8.6806,Inf
2.1.10,aerials,192,262144,8.6406,8.6464,Inf
2.1.11,aerials,192,262144,9.3617,9.3566,Inf
2.1.12,aerials,192,262144,8.4420,8.4499,Inf
2.2.01,aerials,192,1048576,8.4854,8.4872,Inf
2.2.02,aerials,192,1048576,8.7129,8.7136,Inf
2.2.03,aerials,192,1048576,8.3752,8.3747,Inf
2.2.04,aerials,192,1048576,8.5808,8.5860,Inf
2.2.05,aerials,192,1048576,9.4182,9.4158,Inf
2.2.06,aerials,192,1048576,8.7847,8.7899,Inf
2.2.07,aerials,192,1048576,8.4906,8.4958,Inf
2.2.08,aerials,192,1048576,8.5462,8.5482,Inf
2.2.09,aerials,192,1048576,8.7114,8.7080,Inf
2.2.10,aerials,192,1048576,8.7070,8.7079,Inf
2.2.11,aerials,192,1048576,9.1621,9.1608,Inf
2.2.12,aerials,192,1048576,9.4387,9.4417,Inf
2.2.13,aerials,192,1048576,9.2116,9.2112,Inf
2.2.14,aerials,192,1048576,9.5440,9.5494,Inf
2.2.15,aerials,192,1048576,9.2723,9.2724,Inf
2.2.16,aerials,192,1048576,9.6062,9.6108,Inf
2.2.17,aerials,192,1048576,9.3568,9.3551,Inf
2.2.18,aerials,192,1048576,9.1844,9.1874,Inf
2.2.19,aerials,192,1048576,9.0192,9.0218,Inf
2.2.20,aerials,192,1048576,9.3538,9.3542,Inf
2.2.21,aerials,192,1048576,8.6024,8.6039,Inf
2.2.22,aerials,192,1048576,8.6573,8.6544,Inf
2.2.23,aerials,192,1048576,8.7436,8.7480,Inf
2.2.24,aerials,192,1048576,9.2746,9.2764,Inf
wash-ir,aerials,192,5062500,8.5179,8.5161,Inf
4.1.01,misc,216,65536,7.3043,7.2986,Inf
4.1.02,misc,216,65536,6.2440,6.2523,Inf
4.1.03,misc,216,65536,9.9452,9.9572,Inf
4.1.04,misc,216,65536,8.8329,8.8416,Inf
4.1.05,misc,216,65536,8.9156,8.9222,Inf
4.1.06,misc,216,65536,8.1688,8.1760,Inf
4.1.07,misc,216,65536,8.6019,8.5993,Inf
4.1.08,misc,216,65536,8.6315,8.6574,Inf
4.2.01,misc,216,262144,7.6347,7.6410,Inf
4.2.03,misc,216,262144,8.7737,8.7805,Inf
4.2.05,misc,216,262144,7.9749,7.9804,Inf
4.2.06,misc,216,262144,8.0828,8.0865,Inf
4.2.07,misc,216,262144,8.0735,8.0786,Inf
house,misc,216,262144,8.4701,8.4818,Inf
2.1.01,aerials,216,262144,9.4134,9.4241,Inf
2.1.02,aerials,216,262144,8.8424,8.8509,Inf
2.1.03,aerials,216,262144,8.3535,8.3671,Inf
2.1.04,aerials,216,262144,9.3715,9.3876,Inf
2.1.05,aerials,216,262144,8.9706,8.9805,Inf
2.1.06,aerials,216,262144,9.2249,9.2383,Inf
2.1.07,aerials,216,262144,8.7726,8.7811,Inf
2.1.08,aerials,216,262144,8.4200,8.4255,Inf
2.1.09,aerials,216,262144,8.6915,8.6892,Inf
2.1.10,aerials,216,262144,8.6450,8.6554,Inf
2.1.11,aerials,216,262144,9.3524,9.3607,Inf
2.1.12,aerials,216,262144,8.4543,8.4466,Inf
2.2.01,aerials,216,1048576,8.4857,8.4895,Inf
2.2.02,aerials,216,1048576,8.7146,8.7138,Inf
2.2.03,aerials,216,1048576,8.3776,8.3781,Inf
2.2.04,aerials,216,1048576,8.5846,8.5842,Inf
2.2.05,aerials,216,1048576,9.4104,9.4226,Inf
2.2.06,aerials,216,1048576,8.7926,8.7907,Inf
2.2.07,aerials,216,1048576,8.5000,8.4958,Inf
2.2.08,aerials,216,1048576,8.5455,8.5496,Inf
2.2.09,aerials,216,1048576,8.7074,8.7124,Inf
2.2.10,aerials,216,1048576,8.7030,8.7116,Inf
2.2.11,aerials,216,1048576,9.1563,9.1630,Inf
2.2.12,aerials,216,1048576,9.4412,9.4422,Inf
2.2.13,aerials,216,1048576,9.2087,9.2108,Inf
2.2.14,aerials,216,1048576,9.5464,9.5509,Inf
2.2.15,aerials,216,1048576,9.2722,9.2724,Inf
2.2.16,aerials,216,1048576,9.6124,9.6114,Inf
