image,volume,K,num_pixels,mean_chi2_plain,mean_chi2_cipher,chi2_critical_005,cipher_uniform_pass
2.2.04,aerials,192,1048576,3690644.5820,266.6756,293.2465,1
2.2.05,aerials,192,1048576,1298775.5493,242.4767,293.2465,1
2.2.06,aerials,192,1048576,7396619.0374,267.9442,293.2465,1
2.2.07,aerials,192,1048576,4860051.3880,245.0492,293.2465,1
2.2.08,aerials,192,1048576,1082751.9800,250.7612,293.2465,1
2.2.09,aerials,192,1048576,6732990.8791,243.2386,293.2465,1
2.2.10,aerials,192,1048576,7587851.9578,230.7310,293.2465,1
2.2.11,aerials,192,1048576,4219744.8717,254.1698,293.2465,1
2.2.12,aerials,192,1048576,4033947.6772,257.7015,293.2465,1
2.2.13,aerials,192,1048576,2556570.1512,227.0465,293.2465,1
2.2.14,aerials,192,1048576,2863126.6483,264.3382,293.2465,1
2.2.15,aerials,192,1048576,5841825.9139,256.0404,293.2465,1
2.2.16,aerials,192,1048576,3088125.5768,235.9663,293.2465,1
2.2.17,aerials,192,1048576,2111634.7624,259.0991,293.2465,1
2.2.18,aerials,192,1048576,3315796.2762,240.3735,293.2465,1
2.2.19,aerials,192,1048576,4653792.5623,262.8918,293.2465,1
2.2.20,aerials,192,1048576,3223388.8162,254.1659,293.2465,1
2.2.21,aerials,192,1048576,3338600.8636,252.5015,293.2465,1
2.2.22,aerials,192,1048576,6022088.4924,254.8651,293.2465,1
2.2.23,aerials,192,1048576,11172208.3312,277.3672,293.2465,1
2.2.24,aerials,192,1048576,2781243.8275,252.0960,293.2465,1
