K,flipped_key_bit,npcr_key_packed,uaci_key_packed,psnr_cipher_pair_db
336,161,99.992371,33.430484,7.7347
336,176,99.990845,33.355806,7.7372
336,190,99.992371,33.323882,7.7377
336,205,99.993896,33.375346,7.7614
336,219,99.984741,33.403862,7.7338
336,234,99.995422,33.417863,7.7384
336,249,99.986267,33.459085,7.7400
336,263,99.981689,33.358157,7.7659
336,278,99.990845,33.244632,7.7582
336,292,99.990845,33.325035,7.7469
336,307,99.987793,33.147798,7.7721
336,321,99.989319,33.263668,7.7681
336,336,99.990845,33.415691,7.7571
360,1,99.989319,33.377731,7.7496
360,17,99.990845,33.238973,7.7663
360,32,99.989319,33.387793,7.7472
360,48,99.989319,33.326218,7.7521
360,63,99.984741,33.323208,7.7450
360,79,99.980164,33.342061,7.7433
360,95,99.984741,33.181814,7.7550
360,110,99.993896,33.302380,7.7464
360,126,99.993896,33.382179,7.7507
360,141,99.993896,33.310760,7.7522
360,157,99.992371,33.388953,7.7396
360,173,99.992371,33.248743,7.7690
360,188,99.990845,33.329090,7.7324
360,204,99.992371,33.305002,7.7439
360,220,99.993896,33.284728,7.7616
360,235,99.984741,33.310525,7.7572
360,251,99.986267,33.222120,7.7534
360,266,99.992371,33.390968,7.7375
360,282,99.989319,33.258150,7.7431
360,298,99.990845,33.270382,7.7710
360,313,99.983215,33.455843,7.7486
360,329,99.986267,33.300790,7.7540
360,344,99.990845,33.174239,7.7526
360,360,99.989319,33.242129,7.7323
384,1,99.987793,33.252175,7.7411
384,18,99.989319,33.177651,7.7560
384,34,99.989319,33.387791,7.7325
384,51,99.983215,33.224320,7.7457
384,68,99.989319,33.259310,7.7560
384,84,99.989319,33.270383,7.7462
384,101,99.984741,33.334100,7.7375
384,118,99.993896,33.248652,7.7469
384,134,99.992371,33.431446,7.7512
384,151,99.981689,33.468960,7.7303
384,168,99.990845,33.177831,7.7634
384,184,99.989319,33.235870,7.7478
384,201,99.990845,33.113468,7.7580
384,217,99.990845,33.180870,7.7568
384,234,99.992371,33.215394,7.7550
384,251,99.983215,33.226056,7.7546
384,267,99.981689,33.312966,7.7571
384,284,99.995422,33.271209,7.7366
384,301,99.974060,33.303366,7.7548
384,317,99.978638,33.110049,7.7593
384,334,99.989319,33.288920,7.7379
384,351,99.986267,33.176963,7.7653
384,367,99.987793,33.371431,7.7293
384,384,99.989319,33.318305,7.7331
