image,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
wash-ir,120,5062500,8.5176,8.5170,Inf
4.1.01,144,65536,7.2817,7.2832,Inf
4.1.02,144,65536,6.2315,6.2469,Inf
4.1.03,144,65536,9.9446,9.9483,Inf
4.1.04,144,65536,8.8447,8.8178,Inf
4.1.05,144,65536,8.8925,8.9208,Inf
4.1.06,144,65536,8.1513,8.1526,Inf
4.1.07,144,65536,8.5857,8.5900,Inf
4.1.08,144,65536,8.6586,8.6513,Inf
4.2.01,144,262144,7.6326,7.6321,Inf
4.2.03,144,262144,8.7667,8.7714,Inf
4.2.05,144,262144,7.9718,7.9820,Inf
4.2.06,144,262144,8.0898,8.0849,Inf
4.2.07,144,262144,8.0804,8.0776,Inf
house,144,262144,8.4700,8.4810,Inf
2.1.01,144,262144,9.4209,9.4142,Inf
2.1.02,144,262144,8.8483,8.8399,Inf
2.1.03,144,262144,8.3581,8.3557,Inf
2.1.04,144,262144,9.3753,9.3724,Inf
2.1.05,144,262144,8.9723,8.9729,Inf
2.1.06,144,262144,9.2258,9.2260,Inf
2.1.07,144,262144,8.7828,8.7772,Inf
2.1.08,144,262144,8.4184,8.4241,Inf
2.1.09,144,262144,8.6841,8.6845,Inf
2.1.10,144,262144,8.6469,8.6460,Inf
2.1.11,144,262144,9.3506,9.3690,Inf
2.1.12,144,262144,8.4514,8.4427,Inf
2.2.01,144,1048576,8.4834,8.4852,Inf
2.2.02,144,1048576,8.7123,8.7103,Inf
2.2.03,144,1048576,8.3765,8.3760,Inf
2.2.04,144,1048576,8.5828,8.5831,Inf
2.2.05,144,1048576,9.4175,9.4148,Inf
2.2.06,144,1048576,8.7926,8.7855,Inf
2.2.07,144,1048576,8.4926,8.4932,Inf
2.2.08,144,1048576,8.5455,8.5499,Inf
2.2.09,144,1048576,8.7090,8.7078,Inf
2.2.10,144,1048576,8.7055,8.7062,Inf
2.2.11,144,1048576,9.1591,9.1598,Inf
2.2.12,144,1048576,9.4380,9.4396,Inf
2.2.13,144,1048576,9.2117,9.2098,Inf
